All,全部,module,Magento_AdminGws,
None,無,module,Magento_AdminGws,
Allowed Scopes,允許的范圍,module,Magento_AdminGws,
You need more permissions to delete this item(s): %1.,你需要更高的權限來刪除此項目：%1。,module,Magento_AdminGws,
You need more permissions to apply some of the rule updates.,你需要更高的權限應用一些規則的更新。,module,Magento_AdminGws,
Please assign this entity to a store view.,請指定這個店鋪視圖。,module,Magento_AdminGws,
You can create orders only in an active store.,您隻能在活動店鋪創建訂單。,module,Magento_AdminGws,
Please assign this item to a store view.,請將此項目分配給店鋪視圖。,module,Magento_AdminGws,
You need more permissions to save this item.,你需要更多的權限，無法保存此項目。,module,Magento_AdminGws,
You need more permissions to delete this item.,你需要更多的權限來刪除此項目。,module,Magento_AdminGws,
You need more permissions to view this item.,您需要更多的權限才能查看此項。,module,Magento_AdminGws,
Please specify at least one website or one store group.,請指定至少一個網站或一個店鋪組。,module,Magento_AdminGws,
You need more permissions to set All Scopes to a Role.,您需要更多的權限，才能將所有作用域設置到一個角色。,module,Magento_AdminGws,
Incorrect website ID: %1,不正確的網站 ID: %1,module,Magento_AdminGws,
"You need more permissions to access website ""%1"".","你需要更多的權限來訪問網站""%1""。",module,Magento_AdminGws,
Incorrect store ID: %1,不正確的店鋪 ID: %1,module,Magento_AdminGws,
You need more permissions to save this setting.,你需要更高的權限，以保存該設置。,module,Magento_AdminGws,
Role Scopes,角色作用范圍,module,Magento_AdminGws,
Custom,自定義,module,Magento_AdminGws,
Read Details,查看詳情,module,Magento_AdminNotification,
Mark as Read,標記為已讀,module,Magento_AdminNotification,
Are you sure?,您確定嗎？,module,Magento_AdminNotification,
Remove,刪除,module,Magento_AdminNotification,
Messages Inbox,消息收件箱,module,Magento_AdminNotification,
You have %1 new system messages,你有 %1 新系統消息,module,Magento_AdminNotification,
You have %1 new system message,你有 %1 新系統消息,module,Magento_AdminNotification,
Incoming Message,接受消息,module,Magento_AdminNotification,
close,關閉,module,Magento_AdminNotification,
Notifications,通知消息,module,Magento_AdminNotification,
The message has been marked as Read.,郵件已標記為已讀。,module,Magento_AdminNotification,
We couldn't mark the notification as Read because of an error.,由於發生錯誤，我們不能將通知標記為讀。,module,Magento_AdminNotification,
Please select messages.,請選擇消息。,module,Magento_AdminNotification,
A total of %1 record(s) have been marked as Read.,共有 %1 條記錄已標記為已讀。,module,Magento_AdminNotification,
Total of %1 record(s) have been removed.,共有 %1 條記錄已被刪除。,module,Magento_AdminNotification,
We couldn't remove the messages because of an error.,由於發生錯誤，我們不能刪除的消息。,module,Magento_AdminNotification,
The message has been removed.,該消息已被刪除。,module,Magento_AdminNotification,
1 Hour,1 小時,module,Magento_AdminNotification,
2 Hours,2 個小時,module,Magento_AdminNotification,
6 Hours,6 個小時,module,Magento_AdminNotification,
12 Hours,12 個小時,module,Magento_AdminNotification,
24 Hours,24 小時,module,Magento_AdminNotification,
critical,緊急,module,Magento_AdminNotification,
major,主要,module,Magento_AdminNotification,
minor,次要,module,Magento_AdminNotification,
notice,通知,module,Magento_AdminNotification,
Wrong message type,錯誤消息類型,module,Magento_AdminNotification,
Wrong notification ID specified.,指定的錯誤通知 ID。,module,Magento_AdminNotification,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} 不建議在生產環境中使用申報不安全的基本URL / 安全的基本URL。我們強烈建議在您的 Magento
 裡更改此值 <a href=""%1""> 配置</a>。",module,Magento_AdminNotification,
One or more of the Cache Types are invalidated: %1.,一個或多個緩存類型將失效：%1。,module,Magento_AdminNotification,
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","請跳轉至 <a href=""%1"">緩存管理</a> 並刷新緩存類型。",module,Magento_AdminNotification,
We were unable to synchronize one or more media files. Please refer to the log file for details.,我們未能同步一個或多個媒體文件，請參閱日志文件中的詳細信息。,module,Magento_AdminNotification,
Synchronization of media storages has been completed.,媒體庫同步已完成。,module,Magento_AdminNotification,
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,您的 web 服務器設置錯誤，允許對敏感文件進行未經授權的訪問，請與您的主機供應商聯系。,module,Magento_AdminNotification,
System Messages:,系統消息：,module,Magento_AdminNotification,
Critical System Messages,緊急系統消息,module,Magento_AdminNotification,
Major System Messages,主要系統消息,module,Magento_AdminNotification,
System messages,系統消息,module,Magento_AdminNotification,
Close,關閉,module,Magento_AdminNotification,
See All (,查看所有 (,module,Magento_AdminNotification,
unread),未讀),module,Magento_AdminNotification,
Show Toolbar,顯示工具欄,module,Magento_AdminNotification,
Show List,顯示列表,module,Magento_AdminNotification,
Use HTTPS to Get Feed,使用 HTTPS 來得到訂閱源,module,Magento_AdminNotification,
Update Frequency,更新頻率,module,Magento_AdminNotification,
Last Update,最近更新,module,Magento_AdminNotification,
Severity,嚴重程度,module,Magento_AdminNotification,
Date Added,日期已添加,module,Magento_AdminNotification,
Message,信息,module,Magento_AdminNotification,
Actions,操作,module,Magento_AdminNotification,
Manage Shopping Cart,管理購物車,module,Magento_AdvancedCheckout,
Create Order,創建訂單,module,Magento_AdvancedCheckout,
Back,后退,module,Magento_AdvancedCheckout,
Add Products,添加產品,module,Magento_AdvancedCheckout,
Update Items and Quantities,更新商品及數量,module,Magento_AdvancedCheckout,
Are you sure you want to clear your cart?,確實要清除您的購物車嗎？,module,Magento_AdvancedCheckout,
Clear my shopping cart,清空我的購物車,module,Magento_AdvancedCheckout,
Add selections to my cart,將選項添加到我的購物車,module,Magento_AdvancedCheckout,
Cancel,取消,module,Magento_AdvancedCheckout,
Shopping Cart for %1 in %2,在 %2 %1 的購物車,module,Magento_AdvancedCheckout,
Select products you want to buy,選擇你想要買的產品,module,Magento_AdvancedCheckout,
Product,產品,module,Magento_AdvancedCheckout,
Price,價格,module,Magento_AdvancedCheckout,
Quantity,數量,module,Magento_AdvancedCheckout,
Products in the Comparison List (%1),在比較列表中的產品 (%1),module,Magento_AdvancedCheckout,
Last ordered items (%1),最后訂購的商品 (%1),module,Magento_AdvancedCheckout,
Products,產品展示,module,Magento_AdvancedCheckout,
ID,編號ID,module,Magento_AdvancedCheckout,
SKU,商品編號 SKU,module,Magento_AdvancedCheckout,
Recently Compared Products (%1),最近比較的產品 (%1),module,Magento_AdvancedCheckout,
Recently Viewed Products (%1),最近瀏覽過的產品 (%1),module,Magento_AdvancedCheckout,
Add to Shopping Cart by SKU,根據商品編號 SKU 添加到購物車,module,Magento_AdvancedCheckout,
Add to Shopping Cart,添加到購物車,module,Magento_AdvancedCheckout,
